Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01373	4.863463874	-0.87903729	0.483948082	-1.816387589	0.069310938	0.337484655	Energy metabolism	Amino acids and amines	soxB	"sarcosine oxidase, beta subunit family, heterotetrameric form"	NA	NA	"This HMM describes the beta subunit of a family of known and putative heterotetrameric sarcosine oxidases. Five operons of such oxidases are found in Mesorhizobium loti and three in Agrobacterium tumefaciens, a high enough copy number to suggest that not all members are share the same function. The model is designated as subfamily rather than equivalog for this reason. Sarcosine oxidase catalyzes the oxidative demethylation of sarcosine to glycine. The reaction converts tetrahydrofolate to 5,10-methylene-tetrahydrofolate. The enzyme is known in monomeric and heterotetrameric (alpha,beta,gamma,delta) forms."
TIGR00408	19.1337198	-0.484383127	0.266695953	-1.816237257	0.069333985	0.337484655	Protein synthesis	tRNA aminoacylation	proS_fam_I	"prolyl-tRNA synthetase, family I"	proS	6.1.1.15	"Prolyl-tRNA synthetase is a class II tRNA synthetase and is recognized by pfam HMM tRNA-synt_2b, which recognizes tRNA synthetases for Gly, His, Ser, and Pro. The prolyl-tRNA synthetases are divided into two widely divergent families. This family includes the archaeal enzyme, the Pro-specific domain of a human multifunctional tRNA ligase, and the enzyme from the spirochete Borrelia burgdorferi. The other family includes enzymes from Escherichia coli, Bacillus subtilis, Synechocystis PCC6803, and one of the two prolyL-tRNA synthetases of Saccharomyces cerevisiae."
TIGR01811	40.75458973	-0.473291388	0.261653225	-1.808849815	0.070474339	0.341575625	Energy metabolism	TCA cycle	sdhA_Bsu	"succinate dehydrogenase or fumarate reductase, flavoprotein subunit, Bacillus subtilis subgroup"	sdhA	1.3.99.1	"This HMM represents the succinate dehydrogenase flavoprotein subunit as found in the low-GC Gram-positive bacteria and a few other lineages. This enzyme may act in a complete or partial TCA cycle, or act in the opposite direction as fumarate reductase. In some but not all species, succinate dehydrogenase and fumarate reductase may be encoded as separate isozymes."
TIGR00384	19.23525797	-0.431865011	0.23959255	-1.802497657	0.071467143	0.344919813	Energy metabolism	Anaerobic	dhsB	succinate dehydrogenase and fumarate reductase iron-sulfur protein	NA	"Succinate dehydrogenase and fumarate reductase are reverse directions of the same enzymatic interconversion, succinate + FAD+ = fumarate + FADH2 (EC 1.3.11.1). In E. coli, the forward and reverse reactions are catalyzed by distinct complexes: fumarate reductase operates under anaerobic conditions and succinate dehydrogenase operates under aerobic conditions. This model also describes a region of the B subunit of a cytosolic archaeal fumarate reductase."	"Succinate dehydrogenase and fumarate reductase are reverse directions of the same enzymatic interconversion, succinate + FAD+ = fumarate + FADH2 (EC 1.3.11.1). In E. coli, the forward and reverse reactions are catalyzed by distinct complexes: fumarate reductase operates under anaerobic conditions and succinate dehydrogenase operates under aerobic conditions. This model also describes a region of the B subunit of a cytosolic archaeal fumarate reductase."
TIGR00472	17.10946581	-0.63141885	0.351043916	-1.798689054	0.072067881	0.345133191	Protein synthesis	tRNA aminoacylation	pheT_bact	"phenylalanyl-tRNA synthetase, beta subunit, non-spirochete bacterial"	pheT	6.1.1.20	"Every known example of the phenylalanyl-tRNA synthetase, except the monomeric form of mitochondrial, is an alpha 2 beta 2 heterotetramer. The beta subunits break into two subfamilies that are considerably different in sequence, length, and pattern of gaps. This HMM represents the subfamily that includes the beta subunit from Bacteria other than spirochetes, as well as a chloroplast-encoded form from Porphyra purpurea. The chloroplast-derived sequence is considerably shorter at the amino end, however, so this HMM was built in fragment mode"
TIGR02079	4.706840764	-0.75032788	0.417225164	-1.79837638	0.072117383	0.345133191	Amino acid biosynthesis	Pyruvate family	THD1	threonine dehydratase	ilvA	4.3.1.19	"This HMM represents threonine dehydratase, the first step in the pathway converting threonine into isoleucine."
TIGR01828	135.0781741	0.489215546	0.272863499	1.792894794	0.072989748	0.347371716	Energy metabolism	Other	pyru_phos_dikin	"pyruvate, phosphate dikinase"	ppdK	2.7.9.1	"This HMM represents pyruvate,phosphate dikinase, also called pyruvate,orthophosphate dikinase."
TIGR00133	26.62238978	-0.334966652	0.187330188	-1.788108236	0.073758547	0.347371716	Protein synthesis	tRNA aminoacylation	gatB	"aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit"	gatB	6.3.5.-	"The heterotrimer GatABC is responsible for transferring the NH2 group that converts Glu to Gln, or Asp to Asn after the Glu or Asp has been ligated to the tRNA for Gln or Asn, respectively. In Lactobacillus, GatABC is responsible only for tRNA(Gln). In the Archaea, GatABC is responsible only for tRNA(Asn), while GatDE is responsible for tRNA(Gln). In lineages that include Thermus, Chlamydia, or Acidithiobacillus, the GatABC complex catalyzes both."
TIGR02850	32.16791245	0.636084129	0.35579343	1.787790539	0.073809808	0.347371716	Cellular processes	Sporulation and germination	spore_sigG	RNA polymerase sigma-G factor	sigG	NA	"Members of this family comprise the Firmicutes lineage endospore formation-specific sigma factor SigG. It is also desginated stage III sporulation protein G (SpoIIIG). This protein is rather closely related to sigma-F (SpoIIAC), another sporulation sigma factor."
TIGR01027	7.575922732	0.550540215	0.307967398	1.787657458	0.073831289	0.347371716	Amino acid biosynthesis	Glutamate family	proB	glutamate 5-kinase	proB	2.7.2.11	"Bacterial ProB proteins hit the full length of this model, but the ProB-like domain of"
TIGR03374	40.43230873	-0.451946224	0.253058825	-1.78593346	0.074110032	0.347371716	NA	NA	ABALDH	1-pyrroline dehydrogenase	ydcW	"Members of this protein family are 1-pyrroline dehydrogenase (1.5.1.35), also called gamma-aminobutyraldehyde dehydrogenase. This enzyme can follow putrescine transaminase (EC 2.6.1.82) for a two-step conversion of putrescine to gamma-aminobutyric acid (GABA). The member from Escherichia coli is characterized as a homotetramer that binds one NADH per momomer. This enzyme belongs to the medium-chain aldehyde dehydrogenases, and is quite similar in sequence to the betaine aldehyde dehydrogenase (EC 1.2.1.8) family."	"Members of this protein family are 1-pyrroline dehydrogenase (1.5.1.35), also called gamma-aminobutyraldehyde dehydrogenase. This enzyme can follow putrescine transaminase (EC 2.6.1.82) for a two-step conversion of putrescine to gamma-aminobutyric acid (GABA). The member from Escherichia coli is characterized as a homotetramer that binds one NADH per momomer. This enzyme belongs to the medium-chain aldehyde dehydrogenases, and is quite similar in sequence to the betaine aldehyde dehydrogenase (EC 1.2.1.8) family."
TIGR04504	8.745238771	-0.711697036	0.398946837	-1.783939539	0.07443349	0.347457973	Unknown function	Enzymes of unknown specificity	SDR_subfam_2	SDR family mycofactocin-dependent oxidoreductase	NA	1.1.99.-	"Members of this protein subfamily are putative oxidoreductases belonging to the larger SDR family. All members occur in genomes that encode a cassette for the biosynthesis of mycofactocin, a proposed electron carrier of a novel redox pool. Characterized members of this family are described as NDMA-dependent, meaning that a blue aniline dye serving as an artificial electron acceptor is required for members of this family to cycle in vitro, since the bound NAD residue is not exchangeable. This family resembles TIGR03971 most closely in the N-terminal region, consistent with the published hypothesis of NAD interaction with mycofactocin. See EC 1.1.99.36."
TIGR03324	163.7057819	-0.403821549	0.227773026	-1.772912079	0.076243277	0.354453438	NA	NA	alt_F1F0_F1_al	"alternate F1F0 ATPase, F1 subunit alpha"	NA	3.6.3.-	"A small number of taxonomically diverse prokaryotic species, including Methanosarcina barkeri, have what appears to be a second ATP synthase, in addition to the normal F1F0 ATPase in bacteria and A1A0 ATPase in archaea. These enzymes use ion gradients to synthesize ATP, and in principle may run in either direction."
TIGR02188	111.8007192	0.46563173	0.263032456	1.770244394	0.076686437	0.355064437	NA	NA	Ac_CoA_lig_AcsA	acetate--CoA ligase	acs	6.2.1.1	"This HMM describes acetate-CoA ligase (EC 6.2.1.1), also called acetyl-CoA synthetase and acetyl-activating enzyme. It catalyzes the reaction ATP + acetate + CoA = AMP + diphosphate + acetyl-CoA and belongs to the family of AMP-binding enzymes described by Pfam model PF00501."
TIGR03381	11.75982919	-0.504065254	0.285729001	-1.764137534	0.077708826	0.358287001	Central intermediary metabolism	Polyamine biosynthesis	agmatine_aguB	N-carbamoylputrescine amidase	aguB	3.5.1.53	Members of this family are N-carbamoylputrescine amidase (3.5.1.53). Bacterial genes are designated AguB. The AguAB pathway replaces SpeB for conversion of agmatine to putrescine in two steps rather than one.
TIGR01068	312.504471	0.338665798	0.192168058	1.762341784	0.078011568	0.358287001	Energy metabolism	Electron transport	thioredoxin	thioredoxin	trxA	NA	"Several proteins, such as protein disulfide isomerase, have two or more copies of a domain closely related to thioredoxin. This model is designed to recognize authentic thioredoxin, a small protein that should be hit exactly once by this HMM. Any protein that hits once with a score greater than the second (per domain) trusted cutoff may be taken as thioredoxin."
TIGR00081	17.74371496	0.423626387	0.241409067	1.754807272	0.079292279	0.36270645	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	6.3.2.6	Alternate name: SAICAR synthetase purine de novo biosynthesis. E.coli example noted as homotrimer. Check length. Longer versions may be multifunctional enzymes.
TIGR01063	141.431791	0.243551448	0.138984053	1.752369735	0.079710252	0.363159909	DNA metabolism	"DNA replication, recombination, and repair"	gyrA	"DNA gyrase, A subunit"	gyrA	5.99.1.3	"This model describes the common type II DNA topoisomerase (DNA gyrase). Two apparently independently arising families, one in the Proteobacteria and one in Gram-positive lineages, are both designated toposisomerase IV."
TIGR02890	16.67486882	-0.726813514	0.415976169	-1.747247965	0.080594335	0.364615656	Unknown function	General	bacill_yteA	"regulatory protein, yteA family"	NA	NA	"Members of this predicted regulatory protein are found only in endospore-forming members of the Firmicutes group of bacteria, and in nearly every such species; Clostridium perfringens seems to be an exception. The member from Bacillus subtilis, the model system for the study of the sporulation program, has been designated both yteA and yzwB. Some (but not all) members of this family show a strong sequence match to PFAM family PF01258 the C4-type zinc finger protein, DksA/TraR family, but only one of the four key Cys residues is conserved. All members of this protein family share an additional C-terminal domain. Smaller proteins from the proteobacteria with just the N-terminal domain, including DksA and DksA2 are RNA polymerase-binding regulatory proteins even if the Zn-binding site is not conserved."
TIGR00858	28.05411407	-0.520154187	0.29777348	-1.746811659	0.080670013	0.364615656	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	bioF	8-amino-7-oxononanoate synthase	bioF	2.3.1.47	"7-keto-8-aminopelargonic acid synthetase is an alternate name. This model represents 8-amino-7-oxononanoate synthase, the BioF protein of biotin biosynthesis. This model is based on a careful phylogenetic analysis to separate members of this family from 2-amino-3-ketobutyrate and other related pyridoxal phosphate-dependent enzymes. In several species, including Staphylococcus and Coxiella, a candidate 8-amino-7-oxononanoate synthase is confirmed by location in the midst of a biotin biosynthesis operon but scores below the trusted cutoff of this model."
